CATEGORIA_PRODUCTO,CODIGO_PRODUCTO,DESCRIPCION_PRODUCTO,PRECIO_BRUTO_PRODUCTO,IVA_PRODUCTO,PRECIO_IVA_PRODUCTO,CANTIDAD ,TIPO_ITEM
LLANTA,HK305,215/55R17 HANKOOK,"324,900",61731,"386,631",4,PRODUCTO
LLANTA,FK305,215/55R17 FALKEN,"460,900",87571,"548,471",4,PRODUCTO
LLANTA,LF305,215/55R17 PRO4 LH41 G FIT LAUFENN,"312,436",59362.84,"371,799",0,PRODUCTO
LLANTA,HK094-RA33,215/50R17  HANKOOK,"366,303",69597.57,"435,901",0,PRODUCTO
LLANTA,HK017036,225/45ZR17 K120 HANKOOK,"347,815",66084.85,"413,900",5,PRODUCTO
LLANTA,HK724 RF11,215/60R17 HANKOOK RF11,"371,345",70555.55,"441,901",3,PRODUCTO
LLANTA,HK724 RA33,215/60R17 HANKOOK RA33,"366,303",69597.57,"435,901",2,PRODUCTO
LLANTA,CS724,215/60R17 COSMO,"187,900",35701,"223,601",2,PRODUCTO
LLANTA,HK103,225/50ZR17Y XL PRO4 K120 HK,"369,664",70236.16,"439,900",4,PRODUCTO
LLANTA,LF004,225/60R17PR04 LH01 LAUFENN,"282,269",53631.11,"335,900",0,PRODUCTO
LLANTA,HK731,225/60R17  RF11 HK,"380,588",72311.72,"452,900",6,PRODUCTO
LLANTA,HK707,225/60R17H PR04 RA33 HK,"366,303",69597.57,"435,901",8,PRODUCTO
LLANTA,KM707,225/60R17 KUMHO,"350,646",66622.74,"417,269",4,PRODUCTO
LLANTA,GL707,225/60R17 GALLANT,"225,088",42766.72,"267,855",4,PRODUCTO
LLANTA,CZ707,225/60R17 CHAOYANG,"229,328",43572.32,"272,900",6,PRODUCTO
LLANTA,LF005,235/55R17 PR04 LH01 LAUFENN,"368,824",70076.56,"438,901",0,PRODUCTO
LLANTA,HK730,235/55R17 PR04 RA23 HANKOOK,"381,429",72471.51,"453,901",2,PRODUCTO
LLANTA,FK017036,225/45R17 FALKEN,"359,900",68381,"428,281",1,PRODUCTO
LLANTA,FR017036,225/45ZR17 FULLRUN ,"208,285",39574.15,"247,859",3,PRODUCTO
LLANTA,LF017036,225/45ZR17 LAUFENN ,"303,282",57623.58,"360,906",0,PRODUCTO
LLANTA,LF001,225/50RZ17 LAUFENN,"270,756",51443.64,"322,200",4,PRODUCTO
LLANTA,LF050,225/65R17 PR04 LD01 XFIT HT LAUFENN  ,"294,874",56026.06,"350,900",4,PRODUCTO
LLANTA,HK050,225/65R17H PR04 RA33 HK VENDIDAS-CANCELADAS,"393,193",74706.67,"467,900",4,PRODUCTO
LLANTA,CZ678 /CZ723,235/60R17 PR4 SU318 CHAOYANG,"304,957",57941.83,"362,899",0,PRODUCTO
LLANTA,FR723,235/60R17 FULLRUN,"265,247",50396.93,"315,644",4,PRODUCTO
LLANTA,HK723,235/60R17  RA 33 HANHOOK,"377,227",71673.13,"448,900",2,PRODUCTO
LLANTA,LF 723/LF892,235/60R17 LAUFENN,"299,076",56824.44,"355,900",0,PRODUCTO
LLANTA,HK713,235/60R17  LLANTA HANKOOK,"490,756",93243.64,"584,000",0,PRODUCTO
LLANTA,,235/65R17 HANKOOK RA33,"436,975",83025.25,"520,000",4,PRODUCTO
LLANTA,HK241,265/65R17 RA 33  HANKOOK,"466,303",88597.57,"554,901",0,PRODUCTO
LLANTA,LF241,265/65R17 LC01 LAUFENN,"361,261",68639.59,"429,901",2,PRODUCTO
LLANTA,HK084,265/65R17 10 RT05 HANKOOK RF11,"525,900",99921,"625,821",6,PRODUCTO
LLANTA,LF 084,265/65R17  LAUFENN LD01,"375,546",71353.74,"446,900",4,PRODUCTO
LLANTA,HK733,215/55R18V XL PR04 H452 HANKOOK,"457,059",86841.21,"543,900",2,PRODUCTO
LLANTA,HK017030,225/45ZR18Y XL PR04 K120 HANKOOK,"460,420",87479.8,"547,900",3,PRODUCTO
LLANTA,KM017030,225/40R18 KUMHO,"322,238",61225.22,"383,463",4,PRODUCTO
LLANTA,GL733,215/55R18 GALLANT,"239,491",45503.29,"284,994",8,PRODUCTO
LLANTA,CS733,215/55R18 COSMO,"308,900",58691,"367,591",4,PRODUCTO
LLANTA,CP733,215/55R18 COOPER,"495,900",94221,"590,121",4,PRODUCTO
LLANTA,GL735,225/55R18 GALLANT,"268,645",51042.55,"319,688",4,PRODUCTO
LLANTA,KM735,225/55R18 KUMHO,"385,716",73286.04,"459,002",4,PRODUCTO
LLANTA,HK735,225/55R18V PR04 K125 HK,"483,950",91950.5,"575,901",4,PRODUCTO
LLANTA,FK736,225/60R18 FALKEN,"439,900",83581,"523,481",4,PRODUCTO
